Unique Key,Created Date,Closed Date,Agency Name,Complaint Type,Location Type,Incident Zip,Street Name,City,Status,Community Board,Borough
20955403,08-02-2011 0:00,08-04-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10036,TIMES SQUARE,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20961230,08-02-2011 0:00,09/19/2011 12:00 AM,Department of Sanitation,Graffiti,Mixed Use,10003,EAST 9 STREET,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20961809,08-02-2011 0:00,08-02-2011 0:00,BCC - Manhattan,Sanitation Condition,Sidewalk,10022,EAST 58 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20961826,08-02-2011 0:00,08-03-2011 0:00,BCC - Manhattan,Missed Collection (All Materials),Sidewalk,10022,EAST 52 STREET,NEW YORK,Closed,06 MANHATTAN,MANHATTAN
20961827,08-02-2011 0:00,08-04-2011 0:00,BCC - Manhattan,Missed Collection (All Materials),Sidewalk,10022,EAST 52 STREET,NEW YORK,Closed,06 MANHATTAN,MANHATTAN
20954288,08-02-2011 0:00,08-02-2011 0:00,Department of Transportation,Sidewalk Condition,Sidewalk,10038,MAIDEN LANE,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20956991,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Vehicle,Street/Sidewalk,10032,WEST 162 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20957023,08-02-2011 0:00,08-02-2011 0:00,Department of Transportation,Street Condition,Street,10019,WEST 57 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20957035,08-02-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10030,WEST 135 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20957037,08-02-2011 0:00,08-02-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10019,7 AVENUE,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20957042,08-02-2011 0:00,08-03-2011 0:00,Taxi and Limousine Commission,Taxi Complaint,,10002,ALLEN STREET,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20957616,08-02-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10025,WEST 92 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20957617,08-02-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10031,WEST 152 STREET,NEW YORK,Closed,09 MANHATTAN,MANHATTAN
20957621,08-03-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10025,AMSTERDAM AVENUE,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20957626,08-03-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10003,EAST 14 STREET,NEW YORK,Closed,06 MANHATTAN,MANHATTAN
20957633,08-02-2011 0:00,08-02-2011 0:00,3-1-1 Call Center,Noise Survey,Street/Sidewalk,10027,WEST 123 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20957635,08-02-2011 0:00,06/24/2011 12:00 AM,Department of Health and Mental Hygiene,Rodent,3+ Family Mixed Use Building,10025,WEST 107 STREET,NEW YORK,Pending,Unspecified MANHATTAN,MANHATTAN
20957648,08-02-2011 0:00,08-04-2011 0:00,Department for the Aging,Senior Center Complaint,Senior Center,10039,WEST 146 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20957649,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Vending,Street/Sidewalk,10003,BROADWAY,NEW YORK,Closed,02 MANHATTAN,MANHATTAN
20958162,08-02-2011 0:00,08-09-2011 0:00,Department of Transportation,Street Condition,,10075,EAST 79 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20958163,08-02-2011 0:00,08/15/2011 12:00 AM,Department of Transportation,Street Condition,,10005,WALL STREET,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20958164,08-02-2011 0:00,08-08-2011 0:00,Department of Transportation,Street Condition,,10038,GOLD STREET,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20958165,08-02-2011 0:00,08-09-2011 0:00,Department of Transportation,Street Condition,,10009,EAST    4 STREET,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20958167,08-02-2011 0:00,08-11-2011 0:00,Department of Transportation,Street Condition,,10014,PERRY STREET,NEW YORK,Closed,02 MANHATTAN,MANHATTAN
20958168,08-02-2011 0:00,08-04-2011 0:00,Department of Transportation,Street Condition,,10001,10 AVENUE,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20958170,08-02-2011 0:00,08-04-2011 0:00,Department of Transportation,Street Condition,,10011,WEST   15 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20958171,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,,10026,WEST 115 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20958173,08-02-2011 0:00,08-10-2011 0:00,Department of Transportation,Street Condition,,10006,WASHINGTON STREET,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20959221,08-02-2011 0:00,08-08-2011 0:00,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10032,BROADWAY,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20949384,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10039,7 AVENUE,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20949388,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10003,ST MARKS PLACE,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20954913,08-02-2011 0:00,08-02-2011 0:00,Department of Consumer Affairs,Consumer Complaint,,10065,PARK AVENUE,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20954915,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10028,EAST 86 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20954921,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10016,EAST 35 STREET,NEW YORK,Closed,06 MANHATTAN,MANHATTAN
20955419,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,Street,10026,WEST 117 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20955439,08-02-2011 0:00,08/18/2011 12:00 AM,Department of Consumer Affairs,Consumer Complaint,,10010,LEXINGTON AVENUE,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20955442,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10006,WASHINGTON STREET,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20955793,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10021,YORK AVENUE,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20955800,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Homeless Encampment,Street/Sidewalk,10013,THOMPSON STREET,NEW YORK,Closed,02 MANHATTAN,MANHATTAN
20955805,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - House of Worship,House of Worship,10025,WEST 96 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20955814,08-02-2011 0:00,08/25/2011 12:00 AM,Department of Health and Mental Hygiene,Rodent,3+ Family Apt. Building,10003,2 AVENUE,NEW YORK,Closed,Unspecified MANHATTAN,MANHATTAN
20955815,08-02-2011 0:00,08-08-2011 0:00,Department of Transportation,Street Condition,Street,10033,WEST 181 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20955830,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Vending,Street/Sidewalk,10026,WEST 113 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20955831,08-02-2011 0:00,08-05-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10128,3 AVENUE,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20957053,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10021,EAST 71 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20957063,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Blocked Driveway,Street/Sidewalk,10029,EAST 105 STREET,NEW YORK,Closed,11 MANHATTAN,MANHATTAN
20957067,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Park,Park/Playground,10025,WEST 92 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20957084,08-02-2011 0:00,08/23/2011 12:00 AM,Taxi and Limousine Commission,Taxi Complaint,,10017,5 AVENUE,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20957086,08-02-2011 0:00,08-02-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10009,EAST 12 STREET,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20957093,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10001,11 AVENUE,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20957682,08-02-2011 0:00,08-02-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10021,EAST 69 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20957700,08-02-2011 0:00,06/24/2011 12:00 AM,Department of Health and Mental Hygiene,Rodent,3+ Family Mixed Use Building,10025,WEST 107 STREET,NEW YORK,Pending,Unspecified MANHATTAN,MANHATTAN
20957704,08-02-2011 0:00,08-03-2011 0:00,New York City Police Department,Disorderly Youth,Street/Sidewalk,10031,CONVENT AVENUE,NEW YORK,Closed,09 MANHATTAN,MANHATTAN
20957707,08-03-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Vehicle,Street/Sidewalk,10021,EAST 70 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20957709,08-03-2011 0:00,08/18/2011 12:00 AM,Department of Consumer Affairs,Consumer Complaint,,10011,WEST 15 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20957718,08-02-2011 0:00,08-05-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10025,AMSTERDAM AVENUE,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20958175,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,,10039,HARLEM RIVER DRIVE,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20958176,08-02-2011 0:00,08-10-2011 0:00,Department of Transportation,Street Condition,,10038,BROADWAY,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20958177,08-02-2011 0:00,08-04-2011 0:00,Department of Transportation,Street Condition,,10017,EAST 42 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20958178,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,,10018,BROADWAY,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20958179,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,,10018,BROADWAY,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20958180,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,,10036,WEST 41 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20958181,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,,10025,WEST 107 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20958182,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,,10036,WEST 48 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20958183,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,,10036,WEST 47 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20958184,08-02-2011 0:00,08-09-2011 0:00,Department of Transportation,Street Condition,,10028,EAST END AVENUE,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20958186,08-02-2011 0:00,08-09-2011 0:00,Department of Transportation,Street Condition,,10065,EAST   67 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20958716,08-02-2011 0:00,08-07-2011 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10037,5 AVENUE,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20958734,08-02-2011 0:00,08-05-2011 0:00,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10003,1 AVENUE,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20958738,08-02-2011 0:00,08-05-2011 0:00,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10033,ST NICHOLAS AVENUE,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20958751,08-02-2011 0:00,08-05-2011 0:00,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10033,ST NICHOLAS AVENUE,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20962096,08-02-2011 0:00,08-09-2011 0:00,A - Manhattan,Dirty Conditions,Sidewalk,10034,WEST 207 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20962372,08-03-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,Street,10032,EDGECOMBE AVENUE,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20962379,08-03-2011 0:00,10-03-2011 0:00,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10002,ELDRIDGE STREET,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20962380,08-03-2011 0:00,08-03-2011 0:00,Department of Transportation,Street Condition,Street,10032,WEST 167 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20962384,08-03-2011 0:00,08-11-2011 0:00,Department of Transportation,Street Condition,Street,10032,WEST 158 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20962387,08-03-2011 0:00,08-11-2011 0:00,Department of Transportation,Street Condition,Street,10032,WEST 161 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20962465,08-03-2011 0:00,08-05-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,EAP Inspection - F59,Street Address,10011,WEST 22 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20962477,08-03-2011 0:00,08-05-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10019,COLUMBUS CIRCLE,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20962485,08-03-2011 0:00,08-03-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10128,5 AVENUE,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20962489,08-03-2011 0:00,08-03-2011 0:00,New York City Police Department,Vending,Street/Sidewalk,10019,CENTRAL PARK SOUTH,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20962501,08-03-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10032,WEST 158 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20956554,08-02-2011 0:00,08/18/2011 12:00 AM,Department of Consumer Affairs,Consumer Complaint,,10018,WEST 36 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20956561,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10003,EAST 5 STREET,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20957134,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Blocked Driveway,Street/Sidewalk,10023,WEST 76 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20957139,08-02-2011 0:00,08-06-2011 0:00,Department of Transportation,Street Sign - Missing,Street,10016,1 AVENUE,NEW YORK,Closed,06 MANHATTAN,MANHATTAN
20957146,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10003,3 AVENUE,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20957174,08-03-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10039,7 AVENUE,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20954479,08-02-2011 0:00,08-11-2011 0:00,Department for the Aging,Senior Center Complaint,Senior Center,10013,GREENWICH STREET,NEW YORK,Closed,02 MANHATTAN,MANHATTAN
20954482,08-02-2011 0:00,08/23/2011 12:00 AM,Taxi and Limousine Commission,Taxi Complaint,Street,10065,3 AVENUE,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20954491,08-02-2011 0:00,08-10-2011 0:00,Department of Transportation,Street Sign - Missing,Street,10065,YORK AVENUE,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20954960,08-02-2011 0:00,08-08-2011 0:00,Department of Transportation,Street Condition,Street,10031,BROADWAY,NEW YORK,Closed,09 MANHATTAN,MANHATTAN
20954967,08-02-2011 0:00,10-02-2011 0:00,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10017,2 AVENUE,NEW YORK,Closed,06 MANHATTAN,MANHATTAN
20954993,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10032,WEST 156 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20955481,08-02-2011 0:00,08-10-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10025,BROADWAY,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20955493,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Blocked Driveway,Street/Sidewalk,10024,WEST 89 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20955518,08-02-2011 0:00,08-03-2011 0:00,New York City Police Department,Vending,Street/Sidewalk,10035,LEXINGTON AVENUE,NEW YORK,Closed,11 MANHATTAN,MANHATTAN
20955878,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Blocked Driveway,Street/Sidewalk,10028,EAST 84 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20956258,08-02-2011 0:00,08-11-2011 0:00,Department of Health and Mental Hygiene,Rodent,1-2 Family Dwelling,10027,WEST 132 STREET,NEW YORK,Closed,Unspecified MANHATTAN,MANHATTAN
20956264,08-02-2011 0:00,08-03-2011 0:00,New York City Police Department,Disorderly Youth,Street/Sidewalk,10031,CONVENT AVENUE,NEW YORK,Closed,09 MANHATTAN,MANHATTAN
20956272,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10023,WEST 72 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20956281,08-02-2011 0:00,08/26/2011 12:00 AM,Department of Health and Mental Hygiene,Indoor Air Quality,3+ Family Apartment Building,10029,EAST 108 STREET,NEW YORK,Closed,11 MANHATTAN,MANHATTAN
20956284,08-02-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10040,BROADWAY,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20956294,08-02-2011 0:00,08-05-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10036,WEST 44 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20956295,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Sidewalk Condition,Sidewalk,10021,EAST 71 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20956296,08-02-2011 0:00,08-05-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,EAP Inspection - F59,Street Address,10022,EAST 57 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20956299,08-02-2011 0:00,08/15/2011 12:00 AM,Department of Health and Mental Hygiene,Rodent,3+ Family Mixed Use Building,10029,EAST 104 STREET,NEW YORK,Closed,Unspecified MANHATTAN,MANHATTAN
